date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:04	40396/40396	---M-Z	200	added ('OK')	text/html	etag:%22c6031-9dcc-5949e563af000-gzip%22	https://bslthemes.com/ryan/demo/index-new-no-photo.html	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/index-new-no-photo.html	(from )
19:49:05	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2018%20Jul%202020%2014:19:08%20GMT	https://bslthemes.com/robots.txt		(from )
19:49:06	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%2256b46601f46afb33fc4cc430f53492ee%22	https://use.fontawesome.com/releases/v5.8.0/css/all.css	E:/My%20final%20resume/portfolio/use.fontawesome.com/releases/v5.8.0/css/all.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:06	16374/16374	---M--	200	added ('OK')	text/css	etag:%22e6c14-3ff6-59483b736c5c0%22	https://bslthemes.com/ryan/demo/css/basic.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/basic.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:06	3217/3217	---M--	200	added ('OK')	text/css	etag:%22e6c15-c91-59483b736c5c0%22	https://bslthemes.com/ryan/demo/css/blogs.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/blogs.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:07	58041/58041	---M--	200	added ('OK')	text/css	etag:%22e6c18-e2b9-59483b7278380%22	https://bslthemes.com/ryan/demo/css/layout.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/layout.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:07	57174/57174	---M--	200	added ('OK')	text/css	etag:%22e6c17-df56-59483b7554a40%22	https://bslthemes.com/ryan/demo/css/ionicons.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/ionicons.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:08	6951/6951	---M--	200	added ('OK')	text/css	etag:%22e6c19-1b27-59483b7460800%22	https://bslthemes.com/ryan/demo/css/magnific-popup.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/magnific-popup.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:08	4744/4744	---M--	200	added ('OK')	text/css	etag:%22e6c1a-1288-59483b7460800%22	https://bslthemes.com/ryan/demo/css/owl.carousel.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/owl.carousel.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:09	2966/2966	---M--	200	added ('OK')	text/css	etag:%22e6c16-b96-59483b736c5c0%22	https://bslthemes.com/ryan/demo/css/gradient.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/gradient.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:09	74870/74870	---M--	200	added ('OK')	text/css	etag:%22e6c13-12476-59483b7460800%22	https://bslthemes.com/ryan/demo/css/animate.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/animate.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:09	24252/24252	---M--	200	added ('OK')	text/css	etag:%22165596-5ebc-59483b7554a40%22	https://bslthemes.com/ryan/demo/css/new-skin/new-skin.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/new-skin/new-skin.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:09	7083/7083	---M--	200	added ('OK')	text/css	etag:%22165598-1bab-594bbfd98d480%22	https://bslthemes.com/ryan/demo/css/template-colors/green.css	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/template-colors/green.css	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:09	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221a7dc1-47e-5949e6c2a2c00%22	https://bslthemes.com/ryan/demo/images/favicons/favicon.ico	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/favicons/favicon.ico	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:11	46189/46189	---M--	200	added ('OK')	image/png	etag:%221282c5-b46d-5947f3c4d2740%22	https://bslthemes.com/ryan/demo/images/profile.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/profile.png	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:11	22375/22375	---M--	200	added ('OK')	image/png	etag:%221a7dbc-5767-5947f3c8a3040%22	https://bslthemes.com/ryan/demo/images/clients/client_1.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/clients/client_1.png	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:11	305518/305518	---M--	200	added ('OK')	image/jpeg	etag:%221282c4-4a96e-5947f882d9780%22	https://bslthemes.com/ryan/demo/images/man5_big.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/man5_big.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
